Application Number,Voucher Number,Child Age (at time of Application),Gender,Has your child played sport before?,Participation Activity,Club Name,Club Suburb/Town,Club Local Government Area Name,Club State Electoral District  Name,Parent Suburb/Town,Total Payment
2000001094,NZJUWKLV,12,,Yes,Netball,Tibro's Netball Club Inc,Glass House Mountains,Sunshine Coast (R),Glass House,Beerwah,150
2000004598,CT4874VY,12,,Yes,Netball,Tibro's Netball Club Inc,Glass House Mountains,Sunshine Coast (R),Glass House,Beerwah,150
2000005366,TRT9SF1H,12,,Yes,Netball,Tibro's Netball Club Inc,Glass House Mountains,Sunshine Coast (R),Glass House,Landsborough,150
2000008388,EKSGKMCO,12,,Yes,Netball,Tibro's Netball Club Inc,Glass House Mountains,Sunshine Coast (R),Glass House,Landsborough,150
2000010096,DGRIRWEM,12,,Yes,Netball,Tibro's Netball Club Inc,Glass House Mountains,Sunshine Coast (R),Glass House,Beerwah,150
2000001534,VFMGIVCQ,13,,Yes,Netball,Brothers Netball Club Ipswich Inc,Deebing Heights,Ipswich (C),Lockyer,Raceview,150
2000011302,39LCXQAU,13,,Yes,Netball,Brothers Netball Club Ipswich Inc,Deebing Heights,Ipswich (C),Lockyer,Chuwar,150
2000005568,IU9V76D7,13,,Yes,Netball,Five Rivers Netball Club Inc,Elanora,Gold Coast (C),Currumbin,Robina,150
2000006466,U9CDSZDO,13,,Yes,Netball,Five Rivers Netball Club Inc,Elanora,Gold Coast (C),Currumbin,Elanora,150
2000004092,KARJL2KF,13,,Yes,Netball,Tibro's Netball Club Inc,Glass House Mountains,Sunshine Coast (R),Glass House,Maleny,150
2000009426,OP30DYRY,13,,Yes,Netball,Tibro's Netball Club Inc,Glass House Mountains,Sunshine Coast (R),Glass House,Glass House Mountains,150
2000000617,GP4BK6VH,14,,Yes,Netball,Brothers Netball Club Ipswich Inc,Deebing Heights,Ipswich (C),Lockyer,Lowood,150
2000012647,YBJ1G3IJ,14,,Yes,Netball,Brothers Netball Club Ipswich Inc,Deebing Heights,Ipswich (C),Lockyer,Eastern Heights,150
2000001065,6SEEBPWN,14,,Yes,Netball,Tibro's Netball Club Inc,Glass House Mountains,Sunshine Coast (R),Glass House,Beerwah,150
2000001994,A7INJFHI,14,,Yes,Netball,Tibro's Netball Club Inc,Glass House Mountains,Sunshine Coast (R),Glass House,Landsborough,150
2000002806,DZPZ5U6L,14,,Yes,Netball,Tibro's Netball Club Inc,Glass House Mountains,Sunshine Coast (R),Glass House,Mooloolah,150
2000003790,S4PVQ719,15,,Yes,Netball,Aces Netball Club Incorporated,Macgregor,Brisbane (C),Sunnybank,Algester,150
2000009936,O1R1L9TG,9,,No,Netball,Pandas Netball Inc,Brassall,Ipswich (C),Ipswich West,Bundamba,150
2000004919,65O8J7UK,9,,Yes,Netball,Springwood Seals Netball Club Incorporated,Priestdale,Logan (C),Springwood,Crestmead,150
2000012237,W5BQPUBY,10,,No,Netball,Pandas Netball Inc,Brassall,Ipswich (C),Ipswich West,Bundamba,150
2000004955,LHYMHYQM,10,,Yes,Netball,Springwood Seals Netball Club Incorporated,Priestdale,Logan (C),Springwood,Springwood,150
2000011654,XX98RST6,16,,Yes,Netball,Springwood Seals Netball Club Incorporated,Priestdale,Logan (C),Springwood,Meadowbrook,150
2000004335,ET7AI11P,5,,No,Netball,Ipswich Netball Association Incorporated,Ipswich,Ipswich (C),Ipswich,Sadliers Crossing,150
2000013293,CTMN30X0,5,,Yes,Netball,Ipswich Netball Association Incorporated,Ipswich,Ipswich (C),Ipswich,Chuwar,150
2000007902,34P7UU10,6,,No,Netball,Cairns Netball Association Inc,Manunda,Cairns (R),Cairns,Mooroobool,150
2000001779,T078QFS2,7,,No,Netball,Coolum & District Netball Association Incorporated,Coolum Beach,Sunshine Coast (R),Maroochydore,Coolum Beach,150
2000000613,UDR6MMZP,7,,Yes,Netball,Brothers North Netball Club Inc,Bray Park,Moreton Bay (R),Pine Rivers,Cashmere,150
2000000589,8OO4G84J,8,,Yes,Netball,Coolum & District Netball Association Incorporated,Coolum Beach,Sunshine Coast (R),Maroochydore,Coolum Beach,150
2000007458,WNUW2WZA,8,,Yes,Netball,Coolum & District Netball Association Incorporated,Coolum Beach,Sunshine Coast (R),Maroochydore,Coolum Beach,150
2000013403,DMDIAGKF,9,,No,Netball,Cairns Netball Association Inc,Manunda,Cairns (R),Cairns,Edmonton,150
2000002628,FI2KECG1,9,,Yes,Netball,Brothers Netball Club Mackay Inc,Blacks Beach,Mackay (R),Whitsunday,Oakenden,150
2000002709,ZUAF7UE0,9,,Yes,Netball,Cairns Netball Association Inc,Manunda,Cairns (R),Cairns,Bentley Park,150
2000004815,PELB75FE,9,,Yes,Netball,Cairns Netball Association Inc,Manunda,Cairns (R),Cairns,Mooroobool,150
2000006434,T8Y2HJ2H,9,,Yes,Netball,Cairns Netball Association Inc,Manunda,Cairns (R),Cairns,Redlynch,150
2000000827,BPXQNVAF,9,,Yes,Netball,Coolum & District Netball Association Incorporated,Coolum Beach,Sunshine Coast (R),Maroochydore,Tewantin,150
2000000426,2EBBIQVS,9,,Yes,Netball,Currimundi Netball Club Inc,Caloundra,Sunshine Coast (R),Caloundra,Caloundra West,150
2000001767,59AJA7R2,9,,Yes,Netball,Currimundi Netball Club Inc,Caloundra,Sunshine Coast (R),Caloundra,Currimundi,150
2000011857,TYHUY0RH,10,,No,Netball,Maleny Netball Assoc. Inc,Maleny,Sunshine Coast (R),Glass House,Maleny,150
2000005579,CX6OM3OT,10,,Yes,Netball,Cairns Netball Association Inc,Manunda,Cairns (R),Cairns,Edmonton,150
2000001630,HD6TWC56,10,,Yes,Netball,Coolum & District Netball Association Incorporated,Coolum Beach,Sunshine Coast (R),Maroochydore,Peregian Springs,150
2000006172,94JDZ3UR,10,,Yes,Netball,Coolum & District Netball Association Incorporated,Coolum Beach,Sunshine Coast (R),Maroochydore,Noosaville,150
2000000704,TK1AETBD,10,,Yes,Netball,Currimundi Netball Club Inc,Caloundra,Sunshine Coast (R),Caloundra,Battery Hill,150
2000012592,0SMV1GVS,10,,Yes,Netball,Ipswich Netball Association Incorporated,Ipswich,Ipswich (C),Ipswich,Eastern Heights,150
2000013670,815IMW8Z,11,,No,Netball,Cairns Netball Association Inc,Manunda,Cairns (R),Cairns,Cairns,150
2000002606,K1DE9CIT,11,,Yes,Netball,Brothers Netball Club Mackay Inc,Blacks Beach,Mackay (R),Whitsunday,Oakenden,150
2000006395,SJ9CP0RU,11,,Yes,Netball,Cairns Netball Association Inc,Manunda,Cairns (R),Cairns,Mooroobool,150
2000006422,WGJQWUCH,11,,Yes,Netball,Cairns Netball Association Inc,Manunda,Cairns (R),Cairns,Redlynch,150
2000009874,TM9PLH6K,11,,Yes,Netball,Cairns Netball Association Inc,Manunda,Cairns (R),Cairns,Redlynch,150
2000000048,BTUD53WJ,11,,Yes,Netball,Coolum & District Netball Association Incorporated,Coolum Beach,Sunshine Coast (R),Maroochydore,Noosa Heads,150
2000002072,VAV5AI46,11,,Yes,Netball,Coolum & District Netball Association Incorporated,Coolum Beach,Sunshine Coast (R),Maroochydore,Eumundi,150
2000008635,MOGZUJI1,11,,Yes,Netball,Coolum & District Netball Association Incorporated,Coolum Beach,Sunshine Coast (R),Maroochydore,Mount Coolum,150
2000008500,AFUXEJY8,11,,Yes,Netball,Currimundi Netball Club Inc,Caloundra,Sunshine Coast (R),Caloundra,Currimundi,150
2000012601,DCI9CAWD,11,,Yes,Netball,Ipswich Netball Association Incorporated,Ipswich,Ipswich (C),Ipswich,Eastern Heights,150
2000009788,GT99B1R7,11,,Yes,Netball,Valleys Netball Club Inc,Gladstone,Gladstone (R),Gladstone,Gladstone,150
2000011267,Q0VCVQPX,11,,Yes,Netball,Valleys Netball Club Inc,Gladstone,Gladstone (R),Gladstone,Gladstone,150
2000013501,MNV9RMC5,12,,No,Netball,Cairns Netball Association Inc,Manunda,Cairns (R),Cairns,Redlynch,150
2000008713,P8SGH5H8,12,,Yes,Netball,Brothers Netball Club Mackay Inc,Blacks Beach,Mackay (R),Whitsunday,Mackay,150
2000007884,Z48HZ3EP,12,,Yes,Netball,Currimundi Netball Club Inc,Caloundra,Sunshine Coast (R),Caloundra,Upper Coomera,150
2000008063,ZQG257PS,12,,Yes,Netball,Currimundi Netball Club Inc,Caloundra,Sunshine Coast (R),Caloundra,Currimundi,150
2000008446,ZS3HH62Z,12,,Yes,Netball,Valleys Netball Club Inc,Gladstone,Gladstone (R),Gladstone,Clinton,150
2000011250,PSJHU4DO,12,,Yes,Netball,Valleys Netball Club Inc,Gladstone,Gladstone (R),Gladstone,Gladstone,150
2000001657,Y6JQMJIX,13,,Yes,Netball,Coolum & District Netball Association Incorporated,Coolum Beach,Sunshine Coast (R),Maroochydore,Peregian Springs,150
2000001765,HLEB9BVO,13,,Yes,Netball,Coolum & District Netball Association Incorporated,Coolum Beach,Sunshine Coast (R),Maroochydore,Coolum Beach,150
2000008625,R9C4MOR3,13,,Yes,Netball,Coolum & District Netball Association Incorporated,Coolum Beach,Sunshine Coast (R),Maroochydore,Mount Coolum,150
2000001925,BYRXJWYS,13,,Yes,Netball,Currimundi Netball Club Inc,Caloundra,Sunshine Coast (R),Caloundra,Dicky Beach,150
2000008457,105ASJQK,14,,Yes,Netball,Valleys Netball Club Inc,Gladstone,Gladstone (R),Gladstone,Clinton,150
2000001754,SV7VCAQR,15,,Yes,Netball,Coolum & District Netball Association Incorporated,Coolum Beach,Sunshine Coast (R),Maroochydore,Coolum Beach,150
2000012597,I4KDHOTW,15,,Yes,Netball,Ipswich Netball Association Incorporated,Ipswich,Ipswich (C),Ipswich,Harristown,150
2000013447,BV5OOUBS,16,,Yes,Netball,Ipswich Netball Association Incorporated,Ipswich,Ipswich (C),Ipswich,Ripley,150
2000010352,YADLQXPV,17,,Yes,Netball,Ipswich Netball Association Incorporated,Ipswich,Ipswich (C),Ipswich,Goodna,150
2000010289,VKPB9JQF,5,,No,Netball,Helensvale Netball Club Incorporated,Coomera,Gold Coast (C),Coomera,Coomera,150
2000006060,J74QHNAT,6,,No,Netball,Helensvale Netball Club Incorporated,Coomera,Gold Coast (C),Coomera,Upper Coomera,150
2000001366,TNMMZXQH,6,,No,Netball,Northern United Netball Club Inc,Pimpama,Gold Coast (C),Coomera,Upper Coomera,150
2000001339,KB39VE85,7,,No,Netball,Northern United Netball Club Inc,Pimpama,Gold Coast (C),Coomera,Upper Coomera,150
2000007819,HZGOL52C,7,,No,Netball,St Peter's Netball Club Inc,Rochedale,Brisbane (C),Mansfield,Rochedale South,150
2000000126,TGSILDWR,7,,Yes,Netball,Coolum & District Netball Association Incorporated,Coolum Beach,Sunshine Coast (R),Maroochydore,Peregian Beach,150
2000007692,5H1L2IFC,7,,Yes,Netball,St Peter's Netball Club Inc,Rochedale,Brisbane (C),Mansfield,Rochedale South,150
2000013650,27H41TFY,8,,No,Netball,Burpengary Jets Netball Club Inc,Burpengary,Moreton Bay (R),Morayfield,Narangba,150
2000000797,B1NTA8KN,8,,No,Netball,Helensvale Netball Club Incorporated,Coomera,Gold Coast (C),Coomera,Upper Coomera,150
2000011497,VOLVPEDF,8,,No,Netball,Helensvale Netball Club Incorporated,Coomera,Gold Coast (C),Coomera,Arundel,150
2000007543,0OGMTKFL,8,,No,Netball,St Peter's Netball Club Inc,Rochedale,Brisbane (C),Mansfield,Rochedale South,150
2000000570,ZCDREV0E,8,,Yes,Netball,Coolum & District Netball Association Incorporated,Coolum Beach,Sunshine Coast (R),Maroochydore,Coolum Beach,150
2000006058,5RTUMDQR,8,,Yes,Netball,Helensvale Netball Club Incorporated,Coomera,Gold Coast (C),Coomera,Upper Coomera,150
2000010202,NFFM7A3D,8,,Yes,Netball,Northern United Netball Club Inc,Pimpama,Gold Coast (C),Coomera,Upper Coomera,150
2000013170,BX5A0E46,9,,No,Netball,Coolum & District Netball Association Incorporated,Coolum Beach,Sunshine Coast (R),Maroochydore,Coolum,150
2000007733,B65L2H0G,9,,No,Netball,Helensvale Netball Club Incorporated,Coomera,Gold Coast (C),Coomera,Oxenford,150
2000003236,6X7FK6UZ,9,,Yes,Netball,Burpengary Jets Netball Club Inc,Burpengary,Moreton Bay (R),Morayfield,Caboolture,150
2000004515,5M6P025K,9,,Yes,Netball,Burpengary Jets Netball Club Inc,Burpengary,Moreton Bay (R),Morayfield,Burpengary East,150
2000006509,GRMQ7OD1,9,,Yes,Netball,Coolum & District Netball Association Incorporated,Coolum Beach,Sunshine Coast (R),Maroochydore,Yandina Creek,150
2000009632,FCVJP3K7,10,,No,Netball,Coolum & District Netball Association Incorporated,Coolum Beach,Sunshine Coast (R),Maroochydore,Marcoola,150
2000013243,T9NBER1S,10,,No,Netball,Helensvale Netball Club Incorporated,Coomera,Gold Coast (C),Coomera,Upper Coomera,150
2000007163,EGV216Y1,10,,No,Netball,St Peter's Netball Club Inc,Rochedale,Brisbane (C),Mansfield,Rochedale South,150
2000009310,B4ON8ZIU,10,,Yes,Netball,Burpengary Jets Netball Club Inc,Burpengary,Moreton Bay (R),Morayfield,Burpengary,150
2000006508,XJRQCOB8,10,,Yes,Netball,Coolum & District Netball Association Incorporated,Coolum Beach,Sunshine Coast (R),Maroochydore,Yandina Creek,150
2000000325,XM3ZTDEN,10,,Yes,Netball,Helensvale Netball Club Incorporated,Coomera,Gold Coast (C),Coomera,Pimpama,150
2000006030,O7EQQKDH,10,,Yes,Netball,Helensvale Netball Club Incorporated,Coomera,Gold Coast (C),Coomera,Upper Coomera,150
2000006818,706BNMIC,10,,Yes,Netball,Helensvale Netball Club Incorporated,Coomera,Gold Coast (C),Coomera,Upper Coomera,150
2000002732,KN00SGDY,11,,No,Netball,Helensvale Netball Club Incorporated,Coomera,Gold Coast (C),Coomera,Oxenford,150
2000005181,2HUDGOIW,11,,No,Netball,Helensvale Netball Club Incorporated,Coomera,Gold Coast (C),Coomera,Upper Coomera,150
2000008860,B003WAR5,11,,No,Netball,Northern United Netball Club Inc,Pimpama,Gold Coast (C),Coomera,Upper Coomera,150
2000000268,4LEHN4Y5,11,,Yes,Netball,Burpengary Jets Netball Club Inc,Burpengary,Moreton Bay (R),Morayfield,Narangba,150
2000013647,794194JS,11,,Yes,Netball,Burpengary Jets Netball Club Inc,Burpengary,Moreton Bay (R),Morayfield,Morayfield,150
2000007327,9IFLF1VZ,11,,Yes,Netball,Coolum & District Netball Association Incorporated,Coolum Beach,Sunshine Coast (R),Maroochydore,Eerwah Vale,150
2000012347,0T73GHH3,11,,Yes,Netball,Coolum & District Netball Association Incorporated,Coolum Beach,Sunshine Coast (R),Maroochydore,Noosa Heads,150
2000012701,A4LXBJOW,11,,Yes,Netball,Coolum & District Netball Association Incorporated,Coolum Beach,Sunshine Coast (R),Maroochydore,Sunrise Beach,150
2000012903,7KVL895W,11,,Yes,Netball,Currimundi Netball Club Inc,Caloundra,Sunshine Coast (R),Caloundra,Wurtulla,150
2000005522,W6HA0RSB,11,,Yes,Netball,Helensvale Netball Club Incorporated,Coomera,Gold Coast (C),Coomera,Upper Coomera,150
2000008039,7IO6N61B,11,,Yes,Netball,Helensvale Netball Club Incorporated,Coomera,Gold Coast (C),Coomera,Upper Coomera,150
2000006247,NADOKCSD,11,,Yes,Netball,St Peter's Netball Club Inc,Rochedale,Brisbane (C),Mansfield,Rochedale South,150
2000007866,IY0UZJPD,11,,Yes,Netball,St Peter's Netball Club Inc,Rochedale,Brisbane (C),Mansfield,Rochedale South,150
2000011458,GGUL0PT4,11,,Yes,Netball,Wests Netball Association Inc,Mirani,Mackay (R),Mirani,Devereux Creek,150
2000001516,RO0UTBMF,12,,Yes,Netball,Burpengary Jets Netball Club Inc,Burpengary,Moreton Bay (R),Morayfield,Woodford,150
2000004348,RFOP9AM7,12,,Yes,Netball,Burpengary Jets Netball Club Inc,Burpengary,Moreton Bay (R),Morayfield,Burpengary,150
2000008489,TLIOA0RQ,12,,Yes,Netball,Burpengary Jets Netball Club Inc,Burpengary,Moreton Bay (R),Morayfield,Morayfield,150
2000001109,TZRL116T,12,,Yes,Netball,Coolum & District Netball Association Incorporated,Coolum Beach,Sunshine Coast (R),Maroochydore,Mudjimba,150
2000000213,0PHWWR14,12,,Yes,Netball,Helensvale Netball Club Incorporated,Coomera,Gold Coast (C),Coomera,Pimpama,150
2000011490,TS2GXRN3,12,,Yes,Netball,Helensvale Netball Club Incorporated,Coomera,Gold Coast (C),Coomera,Upper Coomera,150
2000012947,2TWZXX0W,12,,Yes,Netball,Northern United Netball Club Inc,Pimpama,Gold Coast (C),Coomera,Parkwood,150
2000000828,8WZVWWEC,13,,Yes,Netball,Burpengary Jets Netball Club Inc,Burpengary,Moreton Bay (R),Morayfield,Narangba,150
2000008271,OIHVRKCE,13,,Yes,Netball,Burpengary Jets Netball Club Inc,Burpengary,Moreton Bay (R),Morayfield,Mango Hill,150
2000005511,FUBAI62Z,13,,Yes,Netball,Helensvale Netball Club Incorporated,Coomera,Gold Coast (C),Coomera,Upper Coomera,150
2000006807,1Z6BOV24,13,,Yes,Netball,Helensvale Netball Club Incorporated,Coomera,Gold Coast (C),Coomera,Upper Coomera,150
2000010272,7K5P1YVL,13,,Yes,Netball,Helensvale Netball Club Incorporated,Coomera,Gold Coast (C),Coomera,Coomera,150
2000010465,0360R6MG,13,,Yes,Netball,Helensvale Netball Club Incorporated,Coomera,Gold Coast (C),Coomera,Upper Coomera,150
2000012847,K15L94EI,13,,Yes,Netball,Helensvale Netball Club Incorporated,Coomera,Gold Coast (C),Coomera,Hope Island,150
2000005831,LH82JPCM,13,,Yes,Netball,Rochedale Rovers Netball Club Incorporated,Priestdale,Logan (C),Springwood,Waterford,150
2000004502,NCRUHDSV,14,,Yes,Netball,Burpengary Jets Netball Club Inc,Burpengary,Moreton Bay (R),Morayfield,Burpengary East,150
2000010532,DM7M0B15,14,,Yes,Netball,Coolum & District Netball Association Incorporated,Coolum Beach,Sunshine Coast (R),Maroochydore,Peregian Beach,150
2000011466,AMR5LEKI,14,,Yes,Netball,Helensvale Netball Club Incorporated,Coomera,Gold Coast (C),Coomera,Upper Coomera,150
2000006258,LQF5WJOQ,14,,Yes,Netball,Northern United Netball Club Inc,Pimpama,Gold Coast (C),Coomera,Pacific Pines,150
2000002229,UL9FJN8F,15,,Yes,Netball,Coolum & District Netball Association Incorporated,Coolum Beach,Sunshine Coast (R),Maroochydore,Noosaville,150
2000008070,KYX5KPOA,15,,Yes,Netball,Wests Netball Association Inc,Mirani,Mackay (R),Mirani,Ooralea,150
2000003235,HKAM5TGG,16,,Yes,Netball,Burpengary Jets Netball Club Inc,Burpengary,Moreton Bay (R),Morayfield,Morayfield,150
2000003562,3AJSLLAF,16,,Yes,Netball,Burpengary Jets Netball Club Inc,Burpengary,Moreton Bay (R),Morayfield,Narangba,150
2000013323,6E3W9PMO,16,,Yes,Netball,Helensvale Netball Club Incorporated,Coomera,Gold Coast (C),Coomera,Upper Coomera,150
2000009836,8ML3B8JP,16,,Yes,Netball,Northern United Netball Club Inc,Pimpama,Gold Coast (C),Coomera,Helensvale,150
2000010191,QDSQA1RE,16,,Yes,Netball,Northern United Netball Club Inc,Pimpama,Gold Coast (C),Coomera,Upper Coomera,150
2000012954,0DVL4S8U,5,,No,Netball,Coomera Netball Club Incorporated,Coomera,Gold Coast (C),Coomera,Pimpama,150
2000007071,93KIIYT8,6,,No,Netball,Coomera Netball Club Incorporated,Coomera,Gold Coast (C),Coomera,Upper Coomera,150
2000011444,W3UPG5LI,6,,No,Netball,Coomera Netball Club Incorporated,Coomera,Gold Coast (C),Coomera,Oxenford,150
2000012943,PFQEEAHM,6,,Yes,Netball,Coomera Netball Club Incorporated,Coomera,Gold Coast (C),Coomera,Pimpama,150
2000005402,0PMAWOQP,7,,No,Netball,Coomera Netball Club Incorporated,Coomera,Gold Coast (C),Coomera,Upper Coomera,150
2000012755,ZH7I2ZW6,7,,Yes,Netball,Coomera Netball Club Incorporated,Coomera,Gold Coast (C),Coomera,Upper Coomera,150
2000008487,5SGWUFXQ,8,,No,Netball,Coomera Netball Club Incorporated,Coomera,Gold Coast (C),Coomera,Coomera,150
2000004777,99P2RKXW,8,,Yes,Netball,Breakers Netball Club Inc,Runaway Bay,Gold Coast (C),Broadwater,Arundel,150
2000007377,GK2O5KSB,8,,Yes,Netball,Coomera Netball Club Incorporated,Coomera,Gold Coast (C),Coomera,Upper Coomera,150
2000009117,LORGOM3D,8,,Yes,Netball,Coomera Netball Club Incorporated,Coomera,Gold Coast (C),Coomera,Upper Coomera,150
2000012934,UC8T8YR2,8,,Yes,Netball,Coomera Netball Club Incorporated,Coomera,Gold Coast (C),Coomera,Pimpama,150
2000006243,6K4ZMJ0I,8,,Yes,Netball,Pacific Netball Club Caloundra Incorporated,Pelican Waters,Sunshine Coast (R),Caloundra,Caloundra,150
2000006701,K0B3T27B,9,,No,Netball,Coomera Netball Club Incorporated,Coomera,Gold Coast (C),Coomera,Upper Coomera,150
2000004645,TW9VE4SR,9,,No,Netball,Kachee Netball Association Incorporated,Coalfalls,Ipswich (C),Ipswich West,Booval,150
2000012771,NZMCNVQ0,9,,Yes,Netball,Coomera Netball Club Incorporated,Coomera,Gold Coast (C),Coomera,Upper Coomera,150
2000006238,UTHYE8V6,9,,Yes,Netball,Pacific Netball Club Caloundra Incorporated,Pelican Waters,Sunshine Coast (R),Caloundra,Caloundra,150
2000000819,VIPC81BH,10,,No,Netball,Breakers Netball Club Inc,Runaway Bay,Gold Coast (C),Broadwater,Arundel,150
2000004307,3MGARIPN,10,,Yes,Netball,Kachee Netball Association Incorporated,Coalfalls,Ipswich (C),Ipswich West,Leichhardt,150
2000010133,3CZLHHWT,11,,No,Netball,Coomera Netball Club Incorporated,Coomera,Gold Coast (C),Coomera,Coomera,150
2000010528,H1WGXPJR,11,,No,Netball,Coomera Netball Club Incorporated,Coomera,Gold Coast (C),Coomera,Upper Coomera,150
2000004654,A2BTZ2CW,11,,No,Netball,Kachee Netball Association Incorporated,Coalfalls,Ipswich (C),Ipswich West,Booval,150
2000002308,G8W8T955,11,,Yes,Netball,Breakers Netball Club Inc,Runaway Bay,Gold Coast (C),Broadwater,Coombabah,150
2000007879,BR2SEL82,11,,Yes,Netball,Breakers Netball Club Inc,Runaway Bay,Gold Coast (C),Broadwater,Paradise Point,150
2000007376,E7J2AHM7,11,,Yes,Netball,Coomera Netball Club Incorporated,Coomera,Gold Coast (C),Coomera,Upper Coomera,150
2000006199,GB9PG35U,11,,Yes,Netball,Pacific Netball Club Caloundra Incorporated,Pelican Waters,Sunshine Coast (R),Caloundra,Pelican Waters,150
2000007386,Y376UGTK,12,,Yes,Netball,Coomera Netball Club Incorporated,Coomera,Gold Coast (C),Coomera,Upper Coomera,150
2000006244,1P01D5MJ,12,,Yes,Netball,Pacific Netball Club Caloundra Incorporated,Pelican Waters,Sunshine Coast (R),Caloundra,Golden Beach,150
2000009258,XA9DIB3G,12,,Yes,Netball,Zodiacs Netball Club Inc,Parkinson,Brisbane (C),Algester,Algester,150
2000011410,8L9KL3KN,13,,Yes,Netball,Kachee Netball Association Incorporated,Coalfalls,Ipswich (C),Ipswich West,One Mile,150
2000000771,PL5Q1APK,13,,Yes,Netball,Pacific Netball Club Caloundra Incorporated,Pelican Waters,Sunshine Coast (R),Caloundra,Meridan Plains,150
2000006217,WMV97J4U,13,,Yes,Netball,Pacific Netball Club Caloundra Incorporated,Pelican Waters,Sunshine Coast (R),Caloundra,Pelican Waters,150
2000008884,QSB1O6FF,13,,Yes,Netball,Pacific Netball Club Caloundra Incorporated,Pelican Waters,Sunshine Coast (R),Caloundra,Moffat Beach,150
2000006216,5N8VI80F,14,,Yes,Netball,Pacific Netball Club Caloundra Incorporated,Pelican Waters,Sunshine Coast (R),Caloundra,Pelican Waters,150
2000004101,Q5PNH1TH,14,,Yes,Netball,St Bernard's Netball Club Inc,Upper Mt Gravatt,Brisbane (C),Mansfield,Acacia Ridge,150
2000013529,8JLYWG2O,6,,No,Netball,The Sunshine Coast Netball Association Incorporated,Maroochydore,Sunshine Coast (R),Buderim,Bli Bli,150
2000008670,V5U2RXA2,8,,No,Netball,The Sunshine Coast Netball Association Incorporated,Maroochydore,Sunshine Coast (R),Buderim,Sippy Downs,150
2000001797,W1TG131T,9,,Yes,Netball,The Sunshine Coast Netball Association Incorporated,Maroochydore,Sunshine Coast (R),Buderim,Mountain Creek,150
2000003649,CTO312UQ,9,,Yes,Netball,The Sunshine Coast Netball Association Incorporated,Maroochydore,Sunshine Coast (R),Buderim,Palmwoods,150
2000008470,UL38MAAL,9,,Yes,Netball,The Sunshine Coast Netball Association Incorporated,Maroochydore,Sunshine Coast (R),Buderim,Mountain Creek,150
2000005096,SPE2W1A9,10,,Yes,Netball,The Sunshine Coast Netball Association Incorporated,Maroochydore,Sunshine Coast (R),Buderim,Mountain Creek,150
2000013518,UWNHD2JE,10,,Yes,Netball,The Sunshine Coast Netball Association Incorporated,Maroochydore,Sunshine Coast (R),Buderim,Bli Bli,150
2000000068,L8KMF6PN,11,,Yes,Netball,The Sunshine Coast Netball Association Incorporated,Maroochydore,Sunshine Coast (R),Buderim,Kuluin,150
2000000962,9LUOPR84,11,,Yes,Netball,The Sunshine Coast Netball Association Incorporated,Maroochydore,Sunshine Coast (R),Buderim,Buderim,150
2000001195,71F99X0W,11,,Yes,Netball,The Sunshine Coast Netball Association Incorporated,Maroochydore,Sunshine Coast (R),Buderim,Mudjimba,150
2000001673,6RL8AM88,11,,Yes,Netball,The Sunshine Coast Netball Association Incorporated,Maroochydore,Sunshine Coast (R),Buderim,Palmwoods,150
2000001774,ZLO740PE,11,,Yes,Netball,The Sunshine Coast Netball Association Incorporated,Maroochydore,Sunshine Coast (R),Buderim,Mountain Creek,150
2000002837,LYF9HQUG,11,,Yes,Netball,The Sunshine Coast Netball Association Incorporated,Maroochydore,Sunshine Coast (R),Buderim,Mountain Creek,150
2000004142,XB3SBAIM,11,,Yes,Netball,The Sunshine Coast Netball Association Incorporated,Maroochydore,Sunshine Coast (R),Buderim,Bli Bli,150
2000005515,5S3SRCQM,11,,Yes,Netball,The Sunshine Coast Netball Association Incorporated,Maroochydore,Sunshine Coast (R),Buderim,Palmwoods,150
2000000309,A30T5DRB,12,,Yes,Netball,The Sunshine Coast Netball Association Incorporated,Maroochydore,Sunshine Coast (R),Buderim,Sippy Downs,150
2000001358,945ZDEH0,12,,Yes,Netball,The Sunshine Coast Netball Association Incorporated,Maroochydore,Sunshine Coast (R),Buderim,Woombye,150
2000001439,KTUQDBKD,12,,Yes,Netball,The Sunshine Coast Netball Association Incorporated,Maroochydore,Sunshine Coast (R),Buderim,Twin Waters,150
2000001799,ERUZCQQ9,12,,Yes,Netball,The Sunshine Coast Netball Association Incorporated,Maroochydore,Sunshine Coast (R),Buderim,Nambour,150
2000002290,E4KATECS,12,,Yes,Netball,The Sunshine Coast Netball Association Incorporated,Maroochydore,Sunshine Coast (R),Buderim,Marcoola,150
2000009087,DVMSBZNG,12,,Yes,Netball,The Sunshine Coast Netball Association Incorporated,Maroochydore,Sunshine Coast (R),Buderim,Buderim,150
2000009609,9HOMNPH3,12,,Yes,Netball,The Sunshine Coast Netball Association Incorporated,Maroochydore,Sunshine Coast (R),Buderim,Maroochydore,150
2000013517,E94INW64,12,,Yes,Netball,The Sunshine Coast Netball Association Incorporated,Maroochydore,Sunshine Coast (R),Buderim,Bli Bli,150
2000001015,CJCNL088,13,,Yes,Netball,The Sunshine Coast Netball Association Incorporated,Maroochydore,Sunshine Coast (R),Buderim,Buderim,150
2000010632,TJW6TIH7,13,,Yes,Netball,The Sunshine Coast Netball Association Incorporated,Maroochydore,Sunshine Coast (R),Buderim,Twin Waters,150
